m4,Um42
178.58314915276947, 8.225423193470626e-8
183.39217543557507, 6.087919585895689e-8
186.04007003645341, 4.015090028220974e-8
188.10794962952028, 2.6030080943276065e-8
190.894543471397, 1.5340897684364613e-8
194.8663853727145, 1.3356551689362035e-8
198.74996412066938, 1.232879436280014e-8
202.63354286862423, 1.2310527161897522e-8
205.98754269640347, 1.6453222266532876e-8
209.34154252418267, 2.36033844618578e-8
213.22512127213756, 2.3955975593940546e-8
216.69680530440024, 1.7863155908626694e-8
219.00635781738856, 1.3411747170721577e-8
221.6983839949482, 9.468824286621914e-9
223.2871207554752, 6.50690767064184e-9
226.46459427652917, 4.237186211644455e-9
229.64206779758317, 3.91651208827352e-9
232.34039848609726, 5.8728585080161265e-9
234.23175177243894, 8.243012719416836e-9
236.17354114641637, 1.3733099434591952e-8
240.05711989437125, 1.369751036721492e-8
243.94069864232614, 1.2775432290649563e-8
247.29469847010535, 9.47311528117855e-9
250.64869829788455, 6.671363532469653e-9
253.62442746839545, 5.456540594311772e-9
254.53227704583944, 3.6766370133363337e-9
256.29754011309166, 2.3371455699862513e-9
257.97454002698123, 2.0647645644913672e-9
259.5338557363874, 3.191979383382184e-9
260.2315549486823, 4.942724495065162e-9
262.46238190180327, 8.640711980524714e-9
266.5360659031545, 8.923551434830513e-9
270.24311834438413, 9.640242330574088e-9
273.4794339676799, 7.0663134834886636e-9
277.48069692011825, 9.87022120088628e-9
280.02267573696145, 7.533019465471324e-9
280.6581704411723, 4.5923423520266204e-9
281.4231177703149, 2.9198662795713833e-9
281.8938545882488, 2.00529927259843e-9
284.14444540122656, 1.250896497954479e-9
286.66006486982974, 2.490756341693284e-9
286.07164384741236, 1.5829524547581124e-9
287.42501219897235, 4.160083132381924e-9
288.0722753236315, 6.810963541278046e-9
288.98012490107556, 1.0013421077962203e-8
291.2749668885034, 1.4103821825368936e-8
291.602801458136, 1.8480817781576388e-8
293.5445908321134, 8.901379407393433e-9
293.5445908321134, 5.220917834890147e-9
294.4943765129117, 3.848788259885571e-9
295.618655338366, 3.023070523056471e-9
298.15949285078705, 5.989557799205003e-9
298.84038003387013, 1.0205965705804735e-8
