m4,Um42
123.44915748218563,0.000030159207186964495
124.77543635062847,0.00002239337027517869
125.92442455748426,0.000016723319965408294
127.45437888725519,0.000012406162431494929
128.557426199262,0.000009863871830337763
130.20095790639328,0.000007623875838209724
132.1536657251632,0.000005950714865971761
133.8346189627921,0.0000048544369860315195
135.6866464029374,0.000003835925508868786
137.75688446886534,0.0000030494497582216226
139.9471003055038,0.000002373317194736663
142.64953272985065,0.0000017992647628691479
145.3897514376432,0.0000013823139119080069
148.4099089597995,0.00000107993147695919
150.27224587402702,9.000746970353348e-7
152.79727334035,7.386442667851193e-7
156.25383610061692,5.899924206787851e-7
160.94756024586496,4.542305697036982e-7
165.49405737299224,3.471513546731599e-7
170.21395394192803,2.802956173332723e-7
174.79353295231408,2.33718987014949e-7
179.0856119875943,2.0036599042717693e-7
183.0122841957886,1.7320165376150737e-7
186.99851674925117,1.5099153544681524e-7
191.07880598351727,1.314282981123493e-7
195.47999431062198,1.1320853443664224e-7
200.3644539643911,9.504165386270074e-8
206.20387215918174,7.90099574532239e-8
212.33670867174283,6.568488982444117e-8
218.76529064318896,5.54294027097857e-8
225.19802771729553,4.803706834216025e-8
231.63280688963795,4.217886892436719e-8
238.06886237337778,3.733917347974803e-8
244.5045349636984,3.29738053903509e-8
250.9396970294601,2.9023708653907836e-8
257.3772840868768,2.5946828457289003e-8
263.8153816688525,2.3272132980986814e-8
270.2561230387229,2.1229728443556997e-8
276.69540576699615,1.9186423124217808e-8
283.1363112340462,1.752099910317433e-8
289.5781101190744,1.6091986236166188e-8
296.0242484628538,1.5196199324942038e-8
302.4696210197948,1.4280042783386064e-8
308.91563173243446,1.3474098069146706e-8
315.3624082319126,1.2776170568493848e-8
321.81033341164834,1.2203879232677953e-8
328.25915200936237,1.1724141109627287e-8
334.70860876277504,1.130940718448154e-8
341.1616391881005,1.116200946978576e-8
347.6171080171669,1.1189992384537316e-8
354.0712737106642,1.112477460281975e-8
358.7693249120894,1.1373341018447926e-8
